FILE_UUID,Sample_ID
bafa044b-e523-428c-8f23-87fea53662ab,563841d4-8d27-4a0e-ab20-8bfae22c46b5
07b3f3c2-2fcd-4498-926f-e29a87d84431,63aa7e64-3d7c-43e8-87fa-f52855faed80
12cfb08c-6db7-49ce-bb8d-aa63f1621246,dfb7fb86-5f46-4666-a008-395aa0881267
bfd3b4f2-94d8-49f6-99bd-7e8a15542700,b2905a3f-810b-4e74-af5c-42d513d91746
5ce0dc94-f35c-4115-8e02-3822c9f7c251,b2905a3f-810b-4e74-af5c-42d513d91746
0a3de921-dcda-4282-bf55-224bee9990de,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
e03a1853-5f38-4217-ba74-a66bfaee47f4,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
1aee59c2-b38c-4832-9478-dfc8e203bd08,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
f111051c-28cf-4ddd-a4bf-f22731a40294,14193a12-5601-4f0c-90aa-ecd24d6ac41b
1f205a8f-14f8-47ec-8ca7-cc89d2042d2e,1c3d40a4-d17b-43ae-9417-58d4580a4bdb
da82673f-ad0f-4578-8dbc-473dfa6f36ae,69f11430-f6f2-46bd-ba02-f09cec02e168
b545c7e6-8318-47e1-8ed4-62a5883a1d1c,9b50f61e-db45-44ff-a73e-33ce09802812
05873a87-fb4b-4947-8d6c-e2659d9a1991,5a800052-150a-4273-9d5d-0ce48be4fd8a
88e15db1-54ef-43e8-91d6-bb41d9fb3cf1,cc30011f-491c-48c1-a010-6d3912f0738e
623b48d1-a7f4-4230-8713-89576371d92d,a76bc38a-9eef-4e6c-b021-f940ff5137b8
6f4cfbbe-7c9e-463e-b2d7-1e1bd7250d06,f05204c8-8301-4117-b826-b5fa194d28d2
c9ad1887-191a-43c7-84be-adf1d41bd00e,270be245-2239-4e96-a917-79cca40868ba
45398b45-a170-4bc5-847a-faed782fca36,fa4ed2c9-c70b-4a5e-ae96-b6a7881bcd6e
1dc0b208-8b02-4b78-ba1a-6051adc9d4e2,12ece355-f1d0-446c-84e9-0aed3e6d29f8
0295d2b3-d4d4-4976-b1d4-fd373a1fa6b2,58d073a2-68b8-4f48-ba5e-020258abef71
42a5ab65-8a81-4e28-a3c0-65215ea0dffa,58d073a2-68b8-4f48-ba5e-020258abef71
402ab001-3eb4-4b5a-8301-5dc3614048e6,12ece355-f1d0-446c-84e9-0aed3e6d29f8
4483d74b-ce76-42ce-9125-8dfb9435ef9b,5b94a116-7e70-41d4-8c6f-2bae44e591aa
0c9be1b0-3347-4268-a8a1-29b2e5188248,5b94a116-7e70-41d4-8c6f-2bae44e591aa
553c02d0-2c62-4513-bfc7-daef00be745e,af0a4cd9-9974-4cdf-ad08-4b3bf8476b78
02732da3-5144-4680-b6ee-cb8563125493,b0be2ba0-faa1-4656-82f4-9c7201b73898
99864318-f38e-468c-ba62-3efeb0a0b5a8,476b6ab5-f108-4280-9d53-7eb75fe17e4a
251336b9-396a-43c0-9277-e848a7d38f49,5d31bbe4-e045-46b5-a976-fec58f929316
43bc0771-abb7-4b6c-9ff2-e3e7ab2d6909,6f8b48ba-ef24-4d33-a0c3-bc900a6c8cd2
af35bcd1-00e0-4400-8b0d-0abf457f950e,2e4b5ba3-ccc8-40f6-80ac-edaea1685204
dab8b8a4-84ca-4d1c-873d-66007379f075,a31f72f8-15c5-40af-a906-98eac28181d9
301cc43e-aa04-4707-9e65-2d00d73634ed,e716eb8a-dccd-4f17-9bdc-e64dc2f0fd69
504ff2c0-f5a4-4b05-8ed2-39e57b65af8c,e716eb8a-dccd-4f17-9bdc-e64dc2f0fd69
21378862-fb3a-46b7-9044-5bf09f0938b9,c216cce6-3e13-466e-942d-348f9f803ab2
1af1ce83-19e4-40a1-a0d8-d0325c0883c9,37cc2cf6-b57d-4f29-8e50-a5fb2b81826e
4ca8334d-01f8-4510-9268-cd34cf867e78,3d164bd9-7416-47af-a102-29954e3efe2c
11faafb6-b10a-49a5-a55d-d6b9ec843ae8,663be580-d861-4e00-8bb5-fcba950e1aef
ce344ff3-cb19-425a-93e5-d5adbd746e2b,7e2ed541-38ee-473f-ac5d-3cae6f5d9a56
8aecf9c0-9777-4ed3-b5cc-c857a0291b6c,cbad9ab1-1d25-46d4-ba57-2bf9e10a0bad
1685ee1c-ca9e-4245-83a8-7b73a1a8f33d,2c9b563c-6f22-4a54-a232-ce7974b30458
2d82f850-0edd-4737-99c1-1060d0f51340,153383b6-9e2b-45a4-943e-e70b74502d16
9b8dec44-e674-4dc7-a8a8-c962c907b64b,88f3f128-e58a-4d90-b184-193696898c12
c31e76a9-7210-44b4-8645-7b174efa3b67,63aa7e64-3d7c-43e8-87fa-f52855faed80
c0236e8b-daa3-49df-a088-f0cc20a41f1a,8511971e-372e-4dc1-96a9-3fea2298393b
0b448eda-6872-4b89-86a6-f8ebc43c2c9f,a28d9c46-4774-4167-8c1e-ee95436c7b2e
ef080f83-d45f-4c82-a0ef-b48689450bf5,68ea0e09-96c6-46e1-a233-c9eaac180f61
abda6d98-915a-4846-a942-2ef8a699e6d2,7b420e74-ed0d-416b-8355-9a80a61d6a4b
c5c4127d-d1c1-4aac-a684-2616eadb1425,7b420e74-ed0d-416b-8355-9a80a61d6a4b
248c960a-1ed6-4393-9bdd-82dffe30786e,b8d0ae22-5be7-42af-a63b-f57971cbcf1f
8b6294dc-33a2-420d-b01e-351bafd0d486,5a800052-150a-4273-9d5d-0ce48be4fd8a
23bcc260-ef87-42b0-a579-e14d68471094,78f8b01e-292f-4131-a3ef-4f9faec7913a
3a2838cc-19df-4ed1-94dc-008a8415dcd6,69f11430-f6f2-46bd-ba02-f09cec02e168
e24263da-233c-4768-a42b-ee66658db638,0d04aaca-30ae-4057-8bb1-48b817e4c97e
50f9d66e-152a-4ae6-8e8a-7c6be4ca34bd,075ab081-4d27-4173-9946-0cf802ffdde9
cf230bf5-e609-4d55-bdfb-ef11400b7014,14423610-4958-43f4-9a75-1a61c1293024
b05f7d3c-6e83-4981-a831-e83db9e2f0c5,833aff90-6480-4561-85bf-25ab20156b89
1f9c23cf-acbe-40be-8c69-515b9cf99afa,281f2be7-7fb2-46f2-9a4a-033db48329a1
88a55e15-121d-41d9-a2a1-b40567408902,84ca0457-6c38-442a-91c6-754469364cb5
00ab866f-a0a3-44c0-ad14-c9dc833239a7,589d4624-1850-4aec-b901-6ef8fbfda614
6e522836-017d-4e4e-96fc-bc609050d301,b1379238-cffe-492c-acaa-f8f0b0f733ff
3bea9c76-8a31-4fc2-a05a-7c7d3f7a8a2a,270be245-2239-4e96-a917-79cca40868ba
b7980d06-0423-4f05-81b2-4244d9084c34,bb128895-972c-48ab-8cb4-ffa9e6448692
